id_muestra,fecha_recepcion,dia_semana_recepcion,es_fin_de_semana,mes_recepcion,temporada_alta_demanda,tipo_muestra,subtipo_muestra,grupo_analitico,num_parametros_solicitados,prioridad_cliente,sector_cliente,sede_laboratorio,carga_laboratorio_dia,num_muestras_lote,analista_experiencia,reanalisis_requerido,plazo_comprometido_horas,tiempo_total_horas,fecha_informe_entregado,estado_entrega
LAB-2024-01360,2024-01-01 09:00,Lunes,0,1,1,Agua,Subterránea,DBO5_DQO,2,Normal,Entidad_Publica,Medellin,11,1,Semi-Senior,0,144,139.66,2024-01-07 04:39,A tiempo
LAB-2024-00582,2024-01-01 11:00,Lunes,0,1,1,Agua,Superficial,Microbiologico,1,Normal,Minero_Energetico,Cali,13,1,Semi-Senior,0,96,46.51,2024-01-03 09:30,A tiempo
LAB-2024-01869,2024-01-01 14:00,Lunes,0,1,1,Suelo,Agrícola,Microbiologico,3,Normal,Agricola,Bogota,9,4,Semi-Senior,0,96,39.31,2024-01-03 05:18,A tiempo
LAB-2024-02187,2024-01-01 15:00,Lunes,0,1,1,Agua,Subterránea,Fisicoquimico_Basico,4,Express,Agricola,Medellin,13,4,Senior,0,48,16.5,2024-01-02 07:29,A tiempo
LAB-2024-00177,2024-01-02 07:00,Martes,0,1,1,Agua,Superficial,Fisicoquimico_Basico,6,Normal,Entidad_Publica,Cali,22,4,Junior,0,96,35.9,2024-01-03 18:53,A tiempo
LAB-2024-00823,2024-01-02 16:00,Martes,0,1,1,Agua,Potable,Microbiologico,4,Normal,Minero_Energetico,Cali,19,5,Semi-Senior,0,96,52.61,2024-01-04 20:36,A tiempo
LAB-2024-02091,2024-01-03 08:00,Miercoles,0,1,1,Agua,Residual/Vertimiento,Fisicoquimico_Basico,8,Normal,Minero_Energetico,Bogota,9,3,Semi-Senior,0,96,36.35,2024-01-04 20:20,A tiempo
LAB-2024-00804,2024-01-03 13:00,Miercoles,0,1,1,Agua,Superficial,Microbiologico,1,Normal,Entidad_Publica,Medellin,11,4,Senior,0,96,40.38,2024-01-05 05:22,A tiempo
LAB-2024-00200,2024-01-04 13:00,Jueves,0,1,1,Suelo,Contaminado/Industrial,Metales_Pesados_ICP,11,Urgente,Minero_Energetico,Cali,8,8,Semi-Senior,0,72,83.96,2024-01-08 00:57,Retrasado
LAB-2024-01486,2024-01-04 16:00,Jueves,0,1,1,Suelo,Relleno Sanitario,Hidrocarburos_HTP,2,Normal,Consultoria_Ambiental,Medellin,10,4,Junior,0,96,124.0,2024-01-09 20:00,Retrasado
LAB-2024-01958,2024-01-05 10:00,Viernes,0,1,1,Agua,Subterránea,Metales_Pesados_ICP,4,Normal,Minero_Energetico,Bogota,10,1,Junior,0,96,86.44,2024-01-09 00:26,A tiempo
LAB-2024-01736,2024-01-05 14:00,Viernes,0,1,1,Agua,Potable,Plaguicidas_Cromatografia,3,Normal,Agricola,Cali,7,1,Semi-Senior,0,96,101.11,2024-01-09 19:06,Retrasado
LAB-2024-01765,2024-01-05 15:00,Viernes,0,1,1,Suelo,Agrícola,Hidrocarburos_HTP,1,Normal,Agricola,Cali,8,1,Junior,0,96,89.83,2024-01-09 08:49,A tiempo
LAB-2024-00999,2024-01-06 09:00,Sabado,1,1,1,Agua,Residual/Vertimiento,DBO5_DQO,1,Urgente,Industrial,Bogota,16,1,Senior,1,144,152.0,2024-01-12 16:59,Retrasado
LAB-2024-01698,2024-01-06 13:00,Sabado,1,1,1,Suelo,Contaminado/Industrial,Hidrocarburos_HTP,1,Normal,Consultoria_Ambiental,Bogota,15,1,Junior,1,96,155.8,2024-01-13 00:47,Retrasado
LAB-2024-02013,2024-01-07 07:00,Domingo,1,1,1,Suelo,Sedimento,Metales_Pesados_ICP,11,Urgente,Industrial,Bogota,14,1,Semi-Senior,0,72,87.03,2024-01-10 22:02,Retrasado
LAB-2024-00928,2024-01-07 09:00,Domingo,1,1,1,Agua,Subterránea,DBO5_DQO,1,Normal,Agricola,Barranquilla,9,8,Junior,0,144,239.67,2024-01-17 08:40,Retrasado
LAB-2024-00798,2024-01-07 14:00,Domingo,1,1,1,Suelo,Agrícola,Metales_Pesados_ICP,5,Normal,Agricola,Barranquilla,20,1,Senior,0,96,82.85,2024-01-11 00:50,A tiempo
LAB-2024-01643,2024-01-07 14:00,Domingo,1,1,1,Agua,Subterránea,DBO5_DQO,2,Urgente,Entidad_Publica,Bogota,15,1,Junior,0,144,161.2,2024-01-14 07:12,Retrasado
LAB-2024-00884,2024-01-08 14:00,Lunes,0,1,1,Agua,Subterránea,Fisicoquimico_Basico,3,Normal,Minero_Energetico,Medellin,11,1,Semi-Senior,0,96,23.08,2024-01-09 13:04,A tiempo
LAB-2024-01252,2024-01-09 11:00,Martes,0,1,1,Agua,Potable,Microbiologico,1,Normal,Entidad_Publica,Medellin,9,5,Junior,0,96,51.6,2024-01-11 14:35,A tiempo
LAB-2024-01394,2024-01-09 12:00,Martes,0,1,1,Agua,Subterránea,DBO5_DQO,1,Normal,Entidad_Publica,Medellin,11,2,Junior,0,144,168.43,2024-01-16 12:25,Retrasado
LAB-2024-01681,2024-01-09 14:00,Martes,0,1,1,Suelo,Sedimento,Metales_Pesados_ICP,10,Normal,Minero_Energetico,Bogota,14,3,Senior,0,96,70.47,2024-01-12 12:27,A tiempo
LAB-2024-00570,2024-01-10 07:00,Miercoles,0,1,1,Suelo,Agrícola,Hidrocarburos_HTP,1,Normal,Minero_Energetico,Bogota,7,5,Junior,0,96,96.72,2024-01-14 07:43,Retrasado
LAB-2024-01714,2024-01-10 07:00,Miercoles,0,1,1,Agua,Superficial,Metales_Pesados_ICP,11,Urgente,Industrial,Cali,13,5,Junior,0,72,93.02,2024-01-14 04:01,Retrasado
LAB-2024-01267,2024-01-10 15:00,Miercoles,0,1,1,Suelo,Contaminado/Industrial,Metales_Pesados_ICP,7,Normal,Consultoria_Ambiental,Medellin,5,3,Junior,0,96,104.54,2024-01-14 23:32,Retrasado
